Date,AirCraft_Type,AirCraft_Regn,AirCraft_FltNo,From,To,Total_Payload_kg,Distance_Flown_km,Hours_Flown
6/29/2021,C208,5Y-ESU,MAF 1,JUBA,IBBA,864,270,1.1
6/29/2021,C208,5Y-ESU,MAF 1,IBBA,YAMBIO,858,85,0.4
6/29/2021,C208,5Y-ESU,MAF 1,YAMBIO,JUBA,997,351,1.3
6/30/2021,C208,5Y-ESU,MAF 1,JUBA,YAMBIO,743,352,1.3
6/30/2021,C208,5Y-ESU,MAF 1,YAMBIO,TAMBURA,820,156,0.7
6/30/2021,C208,5Y-ESU,MAF 1,TAMBURA,JUBA,880,463,0.7
7/2/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,887,120,0.5
7/2/2021,C208,5Y-ESU,MAF 1,TORIT,KAPOETA,961,119,0.6
7/2/2021,C208,5Y-ESU,MAF 1,KAPOETA,LOKICHOGGIO,1052,106,0.5
7/2/2021,C208,5Y-ESU,MAF 1,LOKICHOGGIO,KAPOETA,1111,106,0.5
7/2/2021,C208,5Y-ESU,MAF 1,KAPOETA,JUBA,1188,220,0.9
7/5/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,945,120,0.5
7/5/2021,C208,5Y-ESU,MAF 1,TORIT,KAPOETA,1020,119,0.6
7/5/2021,C208,5Y-ESU,MAF 1,KAPOETA,CHUKUDUM,1115,65,0.4
7/5/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,LOKUTOK,840,87,0.4
7/5/2021,C208,5Y-ESU,MAF 1,LOKUTOK,TORIT,764,41,0.3
7/5/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,1265,120,0.5
7/6/2021,C208,5Y-ESU,MAF 1,JUBA,MUNDRI,873,148,0.8
7/6/2021,C208,5Y-ESU,MAF 1,MUNDRI,YAMBIO,885,230,1
7/6/2021,C208,5Y-ESU,MAF 1,YAMBIO,JUBA,1024,352,1.5
7/7/2021,C208,5Y-ESU,MAF 1,JUBA,MVOLO,678,224,0.9
7/7/2021,C208,5Y-ESU,MAF 1,MVOLO,TONJ,803,196,0.8
7/7/2021,C208,5Y-ESU,MAF 1,TONJ,MALUALKON,820,226,0.9
7/7/2021,C208,5Y-ESU,MAF 1,MALUALKON,RUMBEK,906,332,1.3
7/7/2021,C208,5Y-ESU,MAF 1,RUMBEK,YIROL,1053,98,0.4
7/7/2021,C208,5Y-ESU,MAF 1,YIROL,JUBA,1130,222,0.9
7/8/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,903,120,0.5
7/8/2021,C208,5Y-ESU,MAF 1,TORIT,CHUKUDUM,975,104,0.5
7/8/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,KAPOETA,736,65,0.3
7/8/2021,C208,5Y-ESU,MAF 1,KAPOETA,CHUKUDUM,1134,65,0.4
7/8/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,TORIT,849,104,0.4
7/8/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,1247,120,0.5
7/12/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,1023,120,0.6
7/12/2021,C208,5Y-ESU,MAF 1,TORIT,CHUKUDUM,1073,104,0.5
7/12/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,KAPOETA,820,65,0.3
7/12/2021,C208,5Y-ESU,MAF 1,KAPOETA,LOKICHOGGIO,1204,106,0.5
