"Date","AirCraft_Type","AirCraft_Regn","AirCraft_FltNo","From","To","Total_Payload_kg","Distance_Flown_km","Hours_Flown","Fuel_Burn_kg_Payload","Fuel_Burn_kg_Time"
"4/1/2021","C208","5Y-ESU","MAF 1","TAMBURA","IBBA",871,207,0.8,72.1188,176
"4/1/2021","C208","5Y-ESU","MAF 1","IBBA","MUNDRI",943,146,0.6,55.0712,132
"4/1/2021","C208","5Y-ESU","MAF 1","MUNDRI","JUBA",1134,148,0.7,67.1328,154
"4/8/2021","C208","5Y-ESU","MAF 1","JUBA","MARIDI",1081,239,0.9,103.3436,198
"4/8/2021","C208","5Y-ESU","MAF 1","MARIDI","JUBA",1233,239,1.2,117.8748,264
"4/8/2021","C208","5Y-ESU","MAF 1","JUBA","MARIDI",1020,239,0.9,97.512,198
"4/8/2021","C208","5Y-ESU","MAF 1","MARIDI","IBBA",1182,33,0.2,15.6024,44
"4/8/2021","C208","5Y-ESU","MAF 1","IBBA","JUBA",1016,270,1.1,109.728,242
"4/9/2021","C208","5Y-ESU","MAF 1","JUBA","TORIT",1018,120,6,48.864,1320
"4/9/2021","C208","5Y-ESU","MAF 1","TORIT","OHILANG",1119,37,0.3,16.5612,66
"4/9/2021","C208","5Y-ESU","MAF 1","OHILANG","LOKUTOK",1050,9,0.1,3.78,22
"4/9/2021","C208","5Y-ESU","MAF 1","LOKUTOK","CHUKUDUM",877,87,0.4,30.5196,88
"4/9/2021","C208","5Y-ESU","MAF 1","CHUKUDUM","NAGASHOT",766,13,0.2,3.9832,44
"4/9/2021","C208","5Y-ESU","MAF 1","NAGASHOT","TORIT",527,111,0.4,23.3988,88
"4/9/2021","C208","5Y-ESU","MAF 1","TORIT","JUBA",1346,120,0.5,64.608,110
"4/12/2021","C208","5Y-ESU","MAF 1","JUBA","TORIT",1149,120,0.6,55.152,132
"4/12/2021","C208","5Y-ESU","MAF 1","TORIT","JUBA",1261,120,0.5,60.528,110
"4/12/2021","C208","5Y-ESU","MAF 1","JUBA","TORIT",962,120,0.6,46.176,132
"4/12/2021","C208","5Y-ESU","MAF 1","TORIT","KAPOETA",1053,119,0.6,50.1228,132
"4/12/2021","C208","5Y-ESU","MAF 1","KAPOETA","CHUKUDUM",1143,65,0.3,29.718,66
"4/12/2021","C208","5Y-ESU","MAF 1","CHUKUDUM","KIMATONG",881,61,0.3,21.4964,66
"4/12/2021","C208","5Y-ESU","MAF 1","KIMATONG","JUBA",787,183,0.7,57.6084,154
"4/14/2021","C208","5Y-ESU","MAF 1","JUBA","NIMULE",1111,152,0.6,67.5488,132
"4/14/2021","C208","5Y-ESU","MAF 1","NIMULE","KAJO KEJI",1248,56,0.3,27.9552,66
"4/14/2021","C208","5Y-ESU","MAF 1","KAJO KEJI","JUBA",1079,113,0.5,48.7708,110
"4/15/2021","C208","5Y-ESU","MAF 1","JUBA","POKTAP",1026,287,1.2,117.7848,264
"4/15/2021","C208","5Y-ESU","MAF 1","POKTAP","MABIOR",606,33,0.3,7.9992,66
"4/15/2021","C208","5Y-ESU","MAF 1","MABIOR","BOR",1253,109,0.5,54.6308,110
"4/15/2021","C208","5Y-ESU","MAF 1","BOR","JUBA",1339,146,0.6,78.1976,132
"4/16/2021","C208","5Y-ESU","MAF 1","JUBA","KURON",982,337,1.5,132.3736,330
"4/16/2021","C208","5Y-ESU","MAF 1","KURON","JUBA",1221,337,1.2,164.5908,264
"4/19/2021","C208","5Y-ESU","MAF 1","JUBA","CHUKUDUM",1031,222,1,91.5528,220
"4/19/2021","C208","5Y-ESU","MAF 1","CHUKUDUM","KAPOETA",872,65,0.4,22.672,88
"4/19/2021","C208","5Y-ESU","MAF 1","KAPOETA","TORIT",1252,119,0.5,59.5952,110
"4/19/2021","C208","5Y-ESU","MAF 1","TORIT","JUBA",1311,120,0.5,62.928,110
"4/20/2021","C208","5Y-ESU","MAF 1","JUBA","KAJO KAJI",1117,113,0.5,50.4884,110
"4/20/2021","C208","5Y-ESU","MAF 1","KAJO KAJI","JUBA",1017,113,0.5,45.9684,110
"4/21/2021","C208","5Y-ESU","MAF 1","JUBA","YEI",1000,126,0.5,50.4,110
"4/21/2021","C208","5Y-ESU","MAF 1","YEI","KAJO KAJI",1112,107,0.5,47.5936,110
"4/21/2021","C208","5Y-ESU","MAF 1","KAJO KAJI","NIMULE",889,56,0.3,19.9136,66
"4/21/2021","C208","5Y-ESU","MAF 1","NIMULE","JUBA",1004,152,0.6,61.0432,132
"4/22/2021","C208","5Y-ESU","MAF 1","JUBA","MARIDI",923,239,0.9,88.2388,198
"4/22/2021","C208","5Y-ESU","MAF 1","MARIDI","YAMBIO",1076,119,0.5,51.2176,110
"4/22/2021","C208","5Y-ESU","MAF 1","YAMBIO","JUBA",1034,352,1.5,145.5872,330
"4/23/2021","C208","5Y-ESU","MAF 1","JUBA","TORIT",860,120,0.6,41.28,132
"4/23/2021","C208","5Y-ESU","MAF 1","TORIT","KAPOETA",957,119,0.6,45.5532,132
"4/23/2021","C208","5Y-ESU","MAF 1","KAPOETA","LOKICHOGGIO",1053,106,0.5,44.6472,110
"4/24/2021","C208","5Y-ESU","MAF 1","LOKI","LOGLOGO",856,466,1.9,159.5584,418
"4/24/2021","C208","5Y-ESU","MAF 1","LOGLOGO","WILSON",1103,413,1.6,182.2156,352
"4/27/2021","C208","5Y-ESU","MAF 1","WILSON","LODWAR",692,522,1.8,144.4896,396
"4/27/2021","C208","5Y-ESU","MAF 1","LODWAR","MARSABIT",944,279,1.1,105.3504,242
"4/27/2021","C208","5Y-ESU","MAF 1","MARSABIT","WILSON",1103,452,1.8,199.4224,396
"4/29/2021","C208","5Y-ESU","MAF 1","WILSON","WILSON",0,78,0.3,0,66
"5/5/2021","C208","5Y-ESU","MAF 1","WILSON","FINLAY KERICHO",1056,220,0.7,92.928,154
"5/5/2021","C208","5Y-ESU","MAF 1","FINLAY KERICHO","WILSON",621,233,0.9,57.8772,198
"5/11/2021","C208","5Y-ESU","MAF 1","WILSON","DUKANA",638,603,2.3,153.8856,506
"5/11/2021","C208","5Y-ESU","MAF 1","DUKANA","SEDA",967,191,0.6,73.8788,132
"5/11/2021","C208","5Y-ESU","MAF 1","SEDA","WILSON",1089,416,1.5,181.2096,330
"5/28/2021","C208","5Y-ESU","MAF 1","WILSON","LOKICHOGGIO",667,684,2.5,182.4912,550
"5/28/2021","C208","5Y-ESU","MAF 1","LOKICHOGGIO","WILSON",990,684,2.4,270.864,528
"5/31/2021","C208","5Y-ESU","MAF 1","LOKICHOGGIO","KAPOETA",1147,106,0.4,48.6328,88
"5/31/2021","C208","5Y-ESU","MAF 1","KAPOETA","TORIT",1218,118,0.5,57.4896,110
"5/31/2021","C208","5Y-ESU","MAF 1","TORIT","JUBA ",1294,120,0.5,62.112,110
